stimulus_id,Happy,Amusing,Beauty,Calm,Energizing,Angry,Triumphant,target
5RVqzWqVpME,5.833333333333333,5.666666666666667,4.166666666666667,3.0,3.8333333333333335,1.0,2.0,mix
5cU-BzR-fek,5.333333333333333,6.0,2.6666666666666665,2.1666666666666665,4.833333333333333,1.3333333333333333,2.0,mix
5cthvmrEpJ4,4.666666666666667,2.1666666666666665,3.1666666666666665,2.5,4.0,1.3333333333333333,4.5,masc
5fxq9sCyMqM,4.0,4.166666666666667,1.5,1.0,3.6666666666666665,1.0,1.6666666666666667,mix
5o0l0bpeTaQ,6.166666666666667,5.5,3.5,2.6666666666666665,4.833333333333333,1.0,2.8333333333333335,mix
6NL_inUJ-yE,4.833333333333333,2.8333333333333335,4.666666666666667,4.0,1.8333333333333333,1.0,1.5,fem
6Pv0_aeYoCE,4.833333333333333,3.0,2.5,2.6666666666666665,4.333333333333333,1.8333333333333333,3.8333333333333335,mix
6ZhSFjnUvBs,2.5,1.8333333333333333,1.6666666666666667,1.3333333333333333,5.166666666666667,4.5,4.166666666666667,masc
6cYp20jojU0,4.333333333333333,3.5,1.5,1.1666666666666667,3.6666666666666665,2.0,2.1666666666666665,mix
6q8reMr7gNA,6.0,3.5,3.8333333333333335,2.6666666666666665,5.0,1.0,3.8333333333333335,mix
6sKnzn9diL8,5.5,4.5,5.166666666666667,2.8333333333333335,3.8333333333333335,1.0,2.3333333333333335,fem
6yR2CgfoRbo,4.0,3.8333333333333335,3.5,3.0,2.1666666666666665,1.0,2.0,fem
705VQvekdx8,5.5,3.6666666666666665,4.666666666666667,4.333333333333333,2.3333333333333335,1.0,2.1666666666666665,mix
76xq8R9cEOI,4.2,4.2,2.6,1.4,6.0,5.2,3.6,masc
79j4Qnyb7dg,4.857142857142857,2.2857142857142856,3.7142857142857144,5.714285714285714,2.7142857142857144,1.0,2.857142857142857,mix
7V_e5xlmSqM,3.8333333333333335,3.5,2.3333333333333335,2.3333333333333335,4.833333333333333,1.3333333333333333,3.6666666666666665,masc
7ZEF-H-Cyno,6.166666666666667,6.5,2.6666666666666665,3.0,4.0,1.0,2.5,mix
7bB2elKsUFE,4.833333333333333,2.1666666666666665,4.833333333333333,5.666666666666667,2.0,1.0,1.3333333333333333,fem
84Q-XLh3fAY,5.5,4.5,4.5,2.8333333333333335,3.1666666666666665,1.0,2.8333333333333335,fem
87MVxvFBVqo,4.166666666666667,3.8333333333333335,3.1666666666666665,3.0,2.6666666666666665,1.0,2.3333333333333335,fem
8D5akawtCjg,4.333333333333333,2.8333333333333335,4.333333333333333,2.8333333333333335,3.0,1.0,1.6666666666666667,fem
8Dq2peBijDw,2.6666666666666665,2.0,1.8333333333333333,1.0,4.166666666666667,3.0,3.0,mix
8ZKSazAgj7Q,3.6666666666666665,1.6666666666666667,2.5,2.5,4.666666666666667,1.6666666666666667,3.6666666666666665,masc
8Zc4RGbyQ8g,4.0,4.333333333333333,2.5,2.1666666666666665,5.0,4.166666666666667,4.0,mix
8hm_SPwqUw4,5.166666666666667,2.5,4.666666666666667,3.0,3.5,1.0,1.5,fem
8lAb35KuYVw,4.333333333333333,2.1666666666666665,1.6666666666666667,3.3333333333333335,4.0,1.8333333333333333,3.6666666666666665,mix
8m1YNv41CKc,4.5,1.8333333333333333,3.6666666666666665,2.8333333333333335,3.0,1.1666666666666667,2.1666666666666665,fem
8on6Bja3ymY,5.0,3.1666666666666665,3.0,1.6666666666666667,5.166666666666667,1.6666666666666667,3.5,masc
8x2cXDumjKU,4.166666666666667,3.1666666666666665,4.0,4.166666666666667,2.1666666666666665,1.1666666666666667,1.8333333333333333,fem
8y6pDQTKjrk,5.333333333333333,5.833333333333333,4.166666666666667,2.8333333333333335,5.0,1.5,4.333333333333333,mix
9-RTErCdQCY,4.833333333333333,3.5,3.3333333333333335,1.8333333333333333,4.333333333333333,1.3333333333333333,1.8333333333333333,fem
90BHH9lni8o,4.5,3.0,2.5,1.6666666666666667,4.0,1.3333333333333333,3.0,masc
972oFsnpDmE,5.333333333333333,2.5,3.5,2.0,4.0,1.0,4.0,fem
9AVeLwg2LAw,5.0,3.8333333333333335,2.3333333333333335,1.6666666666666667,4.166666666666667,1.6666666666666667,3.5,masc
9CRrye6_oFo,3.5,2.0,1.5,1.6666666666666667,5.166666666666667,2.1666666666666665,3.1666666666666665,masc
9IDLZyqx-60,3.5,3.6666666666666665,2.5,1.3333333333333333,5.333333333333333,3.0,4.0,masc
9cy0NymlDV0,4.5,3.3333333333333335,3.5,4.0,3.1666666666666665,1.0,2.5,fem
9lIP11Pbu10,5.833333333333333,5.0,4.5,2.8333333333333335,5.5,1.1666666666666667,2.8333333333333335,fem
9rz8E3s3CUY,6.333333333333333,3.8333333333333335,5.0,3.6666666666666665,5.166666666666667,1.5,2.6666666666666665,fem
AB8ud4ogIvo,4.0,3.1666666666666665,4.666666666666667,3.5,2.8333333333333335,1.1666666666666667,1.8333333333333333,fem
AJKBKR6MPO0,5.333333333333333,2.8333333333333335,3.1666666666666665,4.0,3.1666666666666665,1.0,2.8333333333333335,mix
