x,y,target,stimulus_id
3.9875102,4.972058,Mix,48EkYd1GFhY
7.213818,8.048582,Mix,4Hl1wINuquM
5.613224,7.3444753,Masc,4bLSlZyZRXc
5.44676,8.568889,Fem,4e-j6uyqKxI
2.0681357,6.1632814,Fem,4fMS076F8pU
4.656182,5.736708,Mix,4ih5OAZKZQA
3.688284,7.076272,Mix,5P9kXntCLPw
6.7551436,6.4417887,Masc,5PEpjVowR90
3.7978146,5.880112,Mix,5RVqzWqVpME
4.218879,8.124082,Mix,5cU-BzR-fek
4.9866176,4.6358356,Masc,5cthvmrEpJ4
5.846258,5.8125134,Mix,5fxq9sCyMqM
5.8803053,6.6926765,Mix,5o0l0bpeTaQ
1.280336,5.061594,Fem,6NL_inUJ-yE
6.2128625,5.6695533,Mix,6Pv0_aeYoCE
7.47326,5.9447675,Masc,6ZhSFjnUvBs
3.6130998,6.7372885,Mix,6cYp20jojU0
3.051288,5.651999,Mix,6q8reMr7gNA
2.211369,6.0679526,Fem,6sKnzn9diL8
3.060432,6.084953,Fem,6yR2CgfoRbo
1.764599,5.257339,Mix,705VQvekdx8
6.964736,7.498086,Masc,76xq8R9cEOI
1.3395022,4.4883966,Mix,79j4Qnyb7dg
7.598989,5.362448,Masc,7V_e5xlmSqM
4.306627,6.458702,Mix,7ZEF-H-Cyno
0.5747551,4.909625,Fem,7bB2elKsUFE
1.7138661,5.8804393,Fem,84Q-XLh3fAY
3.3276024,5.269863,Fem,87MVxvFBVqo
3.1237307,5.8659773,Fem,8D5akawtCjg
5.5883336,5.4925237,Mix,8Dq2peBijDw
8.090727,8.203385,Masc,8ZKSazAgj7Q
3.9578166,4.5042353,Mix,8Zc4RGbyQ8g
3.4365227,4.9840956,Fem,8hm_SPwqUw4
7.536418,6.5377774,Mix,8lAb35KuYVw
1.7986097,5.252637,Fem,8m1YNv41CKc
6.9652596,6.03636,Masc,8on6Bja3ymY
1.453413,5.8741736,Fem,8x2cXDumjKU
5.46496,6.8406253,Mix,8y6pDQTKjrk
6.5961246,7.1766486,Fem,9-RTErCdQCY
5.9761534,6.8421664,Masc,90BHH9lni8o
1.3587388,4.857839,Fem,972oFsnpDmE
3.9196115,4.8096204,Masc,9AVeLwg2LAw
7.7919297,7.58698,Masc,9CRrye6_oFo
