x,y,target,stimulus_id
9.469805,0.76018935,Fem,Mjrbh-vceUE
6.4053025,4.9359736,Mix,MzsYGbir9i4
5.9427633,5.489854,Mix,NHcDF9wyXpM
10.187514,4.1615396,Mix,NLBZzszOhx0
9.860482,0.77379173,Masc,NOpz_7iEGD4
10.770102,2.5818627,Fem,NW9w3nKtjO4
2.7869475,5.312471,Masc,Njz2KfUZ36o
8.450688,1.755845,Fem,Nvc5N3L3yjA
2.1366587,5.005098,Masc,O-h2PeR39PI
9.946309,3.5807633,Fem,OdDQthpq2Xo
5.202575,6.240169,Mix,Or8zUkmZGNc
6.5468554,4.2428646,Mix,OrXJVDkRmis
7.165177,3.5492756,Fem,OxNe4IUIVk4
5.150352,4.588711,Mix,P1TUfuacr-s
2.9046113,6.1963854,Masc,P2IVTQfNTmo
7.1072135,3.4850974,Fem,PN1BbPGS_RQ
7.8813224,4.4743495,Mix,PjA-VYesTtw
2.6345024,5.3600674,Masc,PlFJmhRZsc8
9.867676,3.5156069,Mix,PowcVq11vCg
6.3090987,1.5200417,Fem,Q1OhEKfG4N0
9.567077,2.442981,Fem,Q59nlktSIkw
9.742798,2.376739,Fem,QPABdbp7RFw
4.9402614,6.075293,Fem,QV2snXd5ZlQ
5.3298783,5.3970838,Mix,QhM5cqvPfb0
5.6711583,1.9259634,Fem,QjMA3hc_PVA
7.0017223,5.1187253,Mix,QqonAr7ajPg
3.8540373,5.741293,Masc,Qrt4cA5Te_Y
6.6238475,1.39829,Fem,R3nQ2yAqag4
4.5203037,3.916471,Mix,RBB1cYpAFbc
8.835726,4.489037,Mix,RIotfIo1Blc
7.9095902,3.8531451,Fem,RKhuCkwN-HQ
8.6605835,1.2812678,Mix,RWhvhHg8JnU
3.2129252,4.563539,Masc,RcXaVTonC7c
7.994742,5.627651,Masc,RuAaIaNv48k
5.1632285,5.152831,Mix,S6qGevXNPaw
5.028336,5.712986,Masc,S8Sob8gzlUg
4.4931054,3.9467561,Mix,SFDQWY3IQ6A
2.3071387,5.149926,Masc,SGDKdsICiPE
6.413639,3.8748734,Masc,SLSo8iqFsFE
8.862637,1.1736668,Fem,SXkaG2VNqbE
8.256318,2.8028216,Mix,SeLZVNxsX2w
6.809412,4.642358,Mix,SlYasXQ36eE
5.027813,2.5552595,Masc,T6oQFzxk8HU
2.520509,5.2653193,Masc,TFHBEkqysRU
6.8055487,5.3338814,Mix,THOQ7SmlwJc
9.260618,0.9476871,Mix,TLdsiPBq3IE
8.007272,4.22416,Mix,Tk7PvxU93oA
4.7795067,3.975187,Mix,Tubf9a3Asxw
6.442659,4.299967,Masc,Tv-pC4g9Tp8
6.6848044,1.340625,Mix,U8w09p6T8r4
7.475007,5.083114,Mix,UZCoc30OxOE
4.0505877,5.7421465,Masc,UZI85fGTuAM
1.355093,5.7010913,Masc,Uyp8N1f5Hrg
4.2564683,5.9465184,Mix,V5-Q-DY8WFM
5.0602837,5.392094,Mix,VFXSd8qc7Xk
9.485689,1.8058642,Fem,VIqv8YRVDuY
3.9048638,5.6742773,Masc,VLM53mDZT4U
6.2078967,3.9599905,Mix,VhOKmLf9JY8
2.4463816,5.496108,Masc,W8z5glKz39Y
2.0819323,5.690281,Masc,WXom9NTISb8
1.7405283,5.957139,Mix,WYtavoRz-Jc
7.3590703,4.0049973,Fem,WZr7t3DXYsA
9.743778,0.87936336,Fem,WiZbb-QOStc
7.2027993,4.62783,Mix,WkkrKcyoiA4
7.7677603,2.589417,Fem,WnkUUi5AwQo
9.307793,0.9366917,Fem,WroQbOL8Vpw
9.131248,4.618691,Mix,XDf_J2ajI7Q
5.609225,4.6359777,Masc,XF6lXzF4ltI
2.385637,5.727766,Masc,XQ6Cm2sXveU
2.048595,4.8478627,Masc,XRclPERrLVc
3.2084806,6.274984,Masc,XUpgpnqB5RA
5.786625,1.769317,Fem,XcdNtsFiLi4
4.4937434,4.6579647,Mix,Xh-dQTJAaqE
1.502778,5.6283593,Masc,XiHahyPA14A
5.825185,5.740714,Mix,Xxw3AwS7_o8
4.705993,4.099312,Masc,Y2Skw39jGlQ
10.631497,2.7480721,Fem,YOaA1JMpq-0
5.749654,4.000096,Masc,YX2Ozh9Msf0
8.844328,0.9896878,Fem,Y_TqObDvE24
6.9688396,1.7882428,Mix,YlE0pteWuR8
6.4080267,4.1284585,Mix,YwJMELJf754
1.6924971,4.705859,Masc,Z00vBKSQrgU
4.408626,5.61217,Mix,Z3JQHGaRQ7I
8.799479,1.2225087,Fem,Z8klTI0cAiA
9.707763,2.167863,Fem,ZGYsE6m0YtY
9.123828,4.790049,Mix,ZHYihxwUzbM
9.451446,3.1137276,Fem,ZNF7nCHCuEo
5.003446,3.6178992,Mix,ZaWRrNOseg4
5.907324,4.1506295,Masc,Zie8xaLG8_M
3.7758815,5.6352305,Masc,ZkKgHOgNKEU
2.3408668,5.1324105,Masc,Zl-50U1tsBM
9.140383,2.6573038,Fem,_7-8YYf0dMA
4.975413,3.6669648,Masc,_H9hUA0Ck8c
6.836126,1.4827332,Mix,_KXsBwbeaSY
8.324581,2.3324535,Mix,_KrfMdJMlDM
2.257269,4.436902,Masc,_OzTx2Sushc
5.9997315,5.746177,Mix,_R2heFBQC_8
9.104365,2.580313,Fem,_XU5qHsC4Aw
5.4142623,2.353742,Masc,__5nKKCvOzk
