Happy,Amusing,Beauty,Calm,Energizing,Angry,Triumphant,prolific_id,stimulus_id
7,5,7,4,4,1,4,5cb87813635b940017c2037a,qqV8wfRzDrA
6,3,4,3,2,1,1,5c9c7cc072bf7f0017b6b798,pdzliNhlqWI
5,2,4,2,5,1,3,5a23e0f8391e270001a10195,GUJ8PfvfQOU
5,1,5,2,5,1,2,5c5432c098016d0001541ef7,tTmh2c2AtXw
6,3,4,1,5,1,3,597e220e30b1d90001f5f14a,cYszuGaptkk
7,5,6,2,5,1,2,5cb87813635b940017c2037a,cyc4PdMrf2k
6,2,4,2,1,1,1,5c9c7cc072bf7f0017b6b798,VIqv8YRVDuY
5,1,3,2,5,2,5,61f2ae4aa09e72f23cbafa9a,ZoRBJa773Rk
5,4,4,1,6,1,5,5ff6e8dc5da4c728c5494d60,s-Q4sffZjo8
4,3,2,2,3,1,2,5c9c7cc072bf7f0017b6b798,cYszuGaptkk
7,1,4,6,1,1,4,611a665e428e9a57ba0de804,z6cj2wHF1rA
5,3,2,1,5,4,5,597e220e30b1d90001f5f14a,HO-GyyhtDnA
6,6,2,1,2,2,1,5c9c7cc072bf7f0017b6b798,2-m3SEGs0kM
5,5,4,3,5,2,5,5d9e1929203419001625df07,U84RMyBtFak
6,2,7,4,2,1,3,5cb87813635b940017c2037a,hxpeslOcIIA
6,5,3,3,6,4,2,611b69c8306de2b76ce73318,lKvRSLtbfrI
4,3,3,1,6,1,3,5a23e0f8391e270001a10195,9IDLZyqx-60
6,4,4,3,6,1,7,614c5d3911d2a431c2c59857,xNGvheoGSrE
7,5,5,2,4,1,4,5cb87813635b940017c2037a,LEmyGcnBMms
6,2,2,1,4,1,5,5dcc6f91e5e18690a20e74d1,LmmNeskIG-c
5,4,4,3,4,1,2,5d4b36bf137506001bb6b366,_KXsBwbeaSY
4,4,4,2,5,7,2,611b69c8306de2b76ce73318,XiHahyPA14A
5,5,5,4,4,1,2,5fb3814f2ed467ac73fe19fd,iD1Eac2X6A4
5,5,4,1,3,1,3,5aae8f78811b2000016f7c7b,xK9Miif2otY
1,1,1,1,2,5,1,5b017ef1293d310001023bd8,lxHh_AJ0-jE
1,1,3,1,2,2,2,5d5f2fc82fce8e0019ca87c1,AYI3Gau3mWo
2,2,2,1,5,1,1,5fcf61cae339e601668c71aa,s8U8-dAaS0Y
6,5,6,4,5,1,5,5f15a35ae74deb1deeb0668b,VIqv8YRVDuY
6,6,5,3,5,1,2,5d9e1929203419001625df07,tXrsSbHI0sQ
2,1,2,1,7,5,7,611d2cc49af322d296ac4117,gcDAsT49EbI
1,1,1,1,1,1,1,5b017ef1293d310001023bd8,cYszuGaptkk
7,6,7,4,6,1,4,5b7f28ee4570a7000120ad3f,1RLA2K18riE
3,1,1,1,2,1,3,5aae8f78811b2000016f7c7b,e18J2Z18Na4
6,6,5,3,5,1,3,5d9e1929203419001625df07,t9Cmn8w36LI
7,5,1,1,7,6,3,611a665e428e9a57ba0de804,xP4PYl5twno
7,6,5,2,5,3,2,5f3960e728b3734d421b2eeb,0YThUgMIgac
6,5,5,2,6,2,4,5ff6e8dc5da4c728c5494d60,AYI3Gau3mWo
7,6,1,1,6,1,1,5c5432c098016d0001541ef7,THOQ7SmlwJc
3,1,2,2,1,1,3,5aae8f78811b2000016f7c7b,rJkc-PV3my0
2,1,1,1,1,1,1,5b017ef1293d310001023bd8,2-m3SEGs0kM
